station=471590 
Lat = 35.1 N 
Lon = 129.03 E 
Year,Annual mean temperature 
2006,18.247
2007,17.23
2008,16.385
2009,19.216
2010,17.65
2011,17.382
2012,17.972
2013,18.962
2014,17.985
2015,16.891
2016,18.475
2017,18.96
2018,18.266
2019,17.827
2020,18.403
2021,19.308
2022,19.695
2023,18.933
2024,17.626
2025,18.524
2026,19.137
2027,19.92
2028,17.616
2029,18.188
2030,20.281
2031,17.692
2032,19.58
2033,20.051
2034,17.877
2035,17.813
2036,19.05
2037,19.657
2038,20.261
2039,20.584
2040,19.86
2041,20.249
2042,19.948
2043,20.325
2044,20.839
2045,20.889
2046,19.828
2047,20.042
2048,20.479
2049,19.139
2050,20.228
2051,20.849
2052,19.393
2053,21.155
2054,19.047
2055,20.668
2056,21.337
2057,20.998
2058,21.943
2059,21.569
2060,20.89
2061,22.799
2062,20.918
2063,22.77
2064,21.939
2065,21.828
2066,23.202
2067,22.549
2068,22.728
2069,21.256
2070,21.828
2071,22.129
2072,22.526
2073,23.048
2074,23.4
2075,22.479
2076,20.461
2077,23.809
2078,21.921
2079,21.929
2080,22.76
2081,23.114
2082,23.68
2083,22.655
2084,22.642
2085,21.965
2086,24.457
2087,23.659
2088,22.347
2089,25.313
2090,24.414
2091,25.236
2092,23.122
2093,23.488
2094,23.679
2095,24.787
2096,23.329
2097,25.59
2098,24.588
2099,26.195
