station=61860 
Lat = 55.68 N 
Lon = 12.55 E 
Year,Annual mean temperature 
2006,9.8
2007,9.0164
2008,10.154
2009,9.7373
2010,8.9103
2011,9.4051
2012,9.3253
2013,10.624
2014,9.3289
2015,8.9889
2016,9.2104
2017,9.4177
2018,10.991
2019,9.8818
2020,10.257
2021,10.105
2022,9.9985
2023,10.502
2024,9.6561
2025,9.1831
2026,10.091
2027,10.777
2028,10.779
2029,11.159
2030,11.227
2031,9.3236
2032,9.6604
2033,10.487
2034,9.374
2035,9.9505
2036,10.09
2037,10.993
2038,11.73
2039,10.422
2040,10.967
2041,12.307
2042,10.121
2043,11.513
2044,11.399
2045,11.782
2046,10.733
2047,11.112
2048,11.759
2049,11.908
2050,11.033
2051,12.189
2052,12.052
2053,11.128
2054,11.427
2055,10.176
2056,11.761
2057,12.828
2058,10.987
2059,11.864
2060,11.235
2061,12.375
2062,12.923
2063,12.901
2064,12.207
2065,11.459
2066,12.156
2067,12.652
2068,13.516
2069,12.214
2070,13.152
2071,12.236
2072,10.949
2073,12.349
2074,13.169
2075,13.014
2076,14.655
2077,13.197
2078,12.82
2079,12.484
2080,14.062
2081,11.869
2082,13.905
2083,13.704
2084,12.063
2085,13.217
2086,12.405
2087,13.636
2088,13.269
2089,14.803
2090,13.1
2091,14.116
2092,14.425
2093,13.655
2094,13.761
2095,13.898
2096,14.377
2097,14.25
2098,12.906
2099,14.7
