station=726060 
Lat = 43.65 N 
Lon = 70.32 W 
Year,Annual mean temperature 
2006,12.94
2007,11.987
2008,11.385
2009,12.312
2010,12.721
2011,12.466
2012,13.142
2013,13.032
2014,12.29
2015,12.26
2016,11.217
2017,13.348
2018,13.427
2019,14.207
2020,13
2021,12.144
2022,13.111
2023,11.394
2024,11.659
2025,13.499
2026,12.881
2027,13.348
2028,12.931
2029,12.343
2030,12.857
2031,14.208
2032,14.307
2033,13.951
2034,15.295
2035,12.984
2036,13.025
2037,12.989
2038,12.658
2039,12.791
2040,13.633
2041,14.198
2042,14.132
2043,13.456
2044,13.014
2045,14.226
2046,14.725
2047,13.148
2048,13.83
2049,14.134
2050,13.784
2051,15.22
2052,14.466
2053,14.459
2054,15.237
2055,15.015
2056,14.678
2057,15.327
2058,15.773
2059,14.988
2060,15.546
2061,14.091
2062,14.193
2063,15.987
2064,16.548
2065,15.05
2066,16.772
2067,16.195
2068,16.265
2069,16.611
2070,16.749
2071,16.181
2072,15.955
2073,16.089
2074,17.196
2075,17.441
2076,16.335
2077,16.072
2078,16.305
2079,16.01
2080,15.911
2081,17.22
2082,16.447
2083,17.241
2084,18.003
2085,16.791
2086,16.592
2087,16.521
2088,17.396
2089,17.145
2090,19.101
2091,17.166
2092,17.906
2093,17.438
2094,17.797
2095,16.758
2096,18.092
2097,18.566
2098,17.127
2099,17.466
