station=722740 
Lat = 32.12 N 
Lon = 110.93 W 
Year,Annual mean temperature 
2006,10.092
2007,9.858
2008,9.9328
2009,9.3886
2010,9.8585
2011,8.9703
2012,10.404
2013,9.919
2014,8.5632
2015,9.5284
2016,10.917
2017,8.9907
2018,9.938
2019,10.768
2020,11.094
2021,10.281
2022,10.502
2023,10.64
2024,10.713
2025,11.553
2026,10.67
2027,10.485
2028,10.195
2029,11.782
2030,10.541
2031,10.862
2032,11.631
2033,9.9203
2034,10.105
2035,10.199
2036,10.319
2037,10.92
2038,11.519
2039,11.202
2040,10.721
2041,12.369
2042,11.674
2043,11.472
2044,10.599
2045,11.637
2046,11.425
2047,11.566
2048,10.785
2049,11.464
2050,12.35
2051,11.928
2052,11.487
2053,12.45
2054,12.125
2055,12.868
2056,12.177
2057,12.596
2058,11.964
2059,12.071
2060,11.632
2061,12.859
2062,13.257
2063,12.671
2064,12.934
2065,13.811
2066,12.6
2067,13.171
2068,13.792
2069,12.961
2070,13.874
2071,13.728
2072,13.186
2073,13.347
2074,12.355
2075,14.025
2076,13.209
2077,12.855
2078,13.397
2079,13.103
2080,13.688
2081,12.7
2082,14.528
2083,13.604
2084,13.518
2085,14.399
2086,14.545
2087,13.599
2088,14.323
2089,14.238
2090,13.367
2091,14.05
2092,14.257
2093,13.742
2094,14.922
2095,13.847
2096,14.83
2097,14.596
2098,15.21
2099,14.636
