station=725310 
Lat = 39.48 N 
Lon = 88.17 W 
Year,Annual mean temperature 
2006,15.224
2007,14.626
2008,15.275
2009,15.4
2010,15.009
2011,14.632
2012,14.624
2013,14.584
2014,15.385
2015,14.332
2016,15.195
2017,15.154
2018,14.817
2019,15.553
2020,16.169
2021,15.462
2022,15.543
2023,14.999
2024,15.177
2025,15.689
2026,15.005
2027,15.189
2028,15.298
2029,16.337
2030,15.938
2031,16.063
2032,16.509
2033,16.291
2034,16.49
2035,16.104
2036,16.628
2037,17.019
2038,17.536
2039,16.438
2040,15.9
2041,17.274
2042,17.108
2043,16.962
2044,15.861
2045,16.028
2046,17.281
2047,17.358
2048,17.159
2049,17.546
2050,16.468
2051,17.452
2052,16.8
2053,18.099
2054,17.783
2055,18.86
2056,17.716
2057,17.469
2058,17.481
2059,17.977
2060,17.677
2061,18.391
2062,19.359
2063,18.122
2064,17.867
2065,18.796
2066,18.009
2067,18.546
2068,18.352
2069,18.523
2070,18.476
2071,19.392
2072,19.137
2073,20.07
2074,19.193
2075,19.226
2076,19.527
2077,19.186
2078,19.815
2079,19.324
2080,19.216
2081,19.078
2082,19.408
2083,19.927
2084,19.594
2085,20.112
2086,20.599
2087,19.92
2088,20.767
2089,20.155
2090,20.233
2091,19.852
2092,19.954
2093,20.666
2094,20.658
2095,21.054
2096,21.397
2097,20.828
2098,21.08
2099,20.672
