station=837810 
Lat = 23.5 S 
Lon = 46.62 W 
Year,Annual mean temperature 
2006,11.366
2007,12.175
2008,11.361
2009,11.202
2010,11.97
2011,11.872
2012,11.631
2013,10.953
2014,11.771
2015,12.008
2016,11.323
2017,11.34
2018,11.53
2019,11.739
2020,11.785
2021,10.953
2022,11.371
2023,11.188
2024,12.388
2025,12.32
2026,11.746
2027,11.489
2028,12.616
2029,12.024
2030,11.325
2031,11.948
2032,11.818
2033,12.055
2034,12.305
2035,11.816
2036,11.412
2037,11.666
2038,11.9
2039,11.921
2040,12.891
2041,11.904
2042,12.219
2043,12.193
2044,11.986
2045,12.148
2046,12.183
2047,11.852
2048,11.447
2049,12.55
2050,12.527
2051,12.243
2052,12.31
2053,11.976
2054,12.467
2055,12.017
2056,12.013
2057,12.736
2058,12.363
2059,12.63
2060,12.682
2061,11.847
2062,13.037
2063,12.684
2064,12.829
2065,13.392
2066,12.926
2067,12.795
2068,13.461
2069,12.885
2070,13.272
2071,13.312
2072,13.502
2073,13.735
2074,13.811
2075,13.594
2076,13.71
2077,14.139
2078,13.987
2079,13.78
2080,13.702
2081,13.985
2082,14.385
2083,14.015
2084,14.528
2085,14.347
2086,13.798
2087,14.577
2088,14.432
2089,14.395
2090,14.2
2091,14.443
2092,14.589
2093,14.475
2094,14.917
2095,14.163
2096,14.98
2097,14.462
2098,14.55
2099,15.055
