station=700260 
Lat = 71.3 N 
Lon = 156.78 W 
Year,Annual mean temperature 
2006,23.412
2007,22.424
2008,22.614
2009,21.008
2010,22.018
2011,22.982
2012,24.082
2013,22.371
2014,21.621
2015,20.334
2016,22.158
2017,23.829
2018,22.743
2019,21.729
2020,22.805
2021,20.422
2022,22.537
2023,23.541
2024,22.065
2025,21.631
2026,23.766
2027,24.596
2028,20.324
2029,24.362
2030,23.536
2031,22.529
2032,23.473
2033,23.913
2034,24.145
2035,24.291
2036,24.075
2037,25.046
2038,22.58
2039,22.616
2040,24.127
2041,24.308
2042,22.845
2043,25.43
2044,25.705
2045,24.705
2046,24.982
2047,23.751
2048,23.634
2049,22.693
2050,24.998
2051,24.793
2052,24.436
2053,24.004
2054,22.34
2055,26.368
2056,26.653
2057,24.668
2058,26.335
2059,23.485
2060,24.557
2061,26.475
2062,26.541
2063,26.914
2064,21.647
2065,25.293
2066,25.955
2067,25.796
2068,26.52
2069,24.462
2070,27.289
2071,26.942
2072,27.646
2073,27.39
2074,26.942
2075,25.497
2076,27.101
2077,26.891
2078,24.7
2079,27.596
2080,26.534
2081,25.113
2082,27.426
2083,28.277
2084,27.087
2085,27.028
2086,26.715
2087,27.628
2088,27.654
2089,28.464
2090,27.224
2091,26.622
2092,27.616
2093,28.644
2094,27.674
2095,28.151
2096,27.918
2097,28.704
2098,27.294
2099,28.349
