station=82850 
Lat = 39.48 N 
Lon = 0.38 W 
Year,Annual mean temperature 
2006,18.386
2007,18.4
2008,18.402
2009,19.382
2010,18.777
2011,18.388
2012,17.653
2013,18.609
2014,18.568
2015,19.113
2016,19.238
2017,18.183
2018,18.978
2019,18.966
2020,19.823
2021,19.54
2022,18.462
2023,19.647
2024,19.444
2025,19.58
2026,19.813
2027,18.978
2028,18.903
2029,19.073
2030,20.562
2031,19.197
2032,20.966
2033,20.001
2034,20.011
2035,20.048
2036,19.087
2037,19.728
2038,19.652
2039,18.977
2040,19.497
2041,21.114
2042,20.388
2043,19.613
2044,19.488
2045,20.157
2046,20.43
2047,20.166
2048,21.306
2049,20.784
2050,21.05
2051,21.098
2052,21.391
2053,21.462
2054,21.989
2055,22.959
2056,21.351
2057,21.94
2058,22.303
2059,21.641
2060,21.262
2061,21.821
2062,22.007
2063,22.175
2064,21.9
2065,22.599
2066,21.674
2067,23.228
2068,22.78
2069,23.529
2070,22.893
2071,22.937
2072,23.508
2073,24.348
2074,22.674
2075,23.095
2076,22.777
2077,22.249
2078,23.86
2079,22.929
2080,22.477
2081,23.589
2082,23.594
2083,23.336
2084,23.556
2085,22.658
2086,23.694
2087,24.178
2088,24.547
2089,23.208
2090,23.227
2091,23.494
2092,25.028
2093,23.538
2094,23.646
2095,24.357
2096,24.734
2097,24.999
2098,25.162
2099,24.983
