station=941200 
Lat = 12.4 S 
Lon = 130.87 E 
Year,Annual mean temperature 
2006,-8.9983
2007,-9.7897
2008,-7.6323
2009,-8.946
2010,-7.5054
2011,-8.0333
2012,-8.2508
2013,-5.9585
2014,-7.8347
2015,-8.8368
2016,-4.8678
2017,-6.0156
2018,-6.3174
2019,-6.8748
2020,-6.2986
2021,-9.2302
2022,-7.1155
2023,-5.4831
2024,-5.7362
2025,-6.8467
2026,-4.3984
2027,-6.477
2028,-6.487
2029,-4.3799
2030,-3.9276
2031,-5.1337
2032,-3.6984
2033,-4.5119
2034,-8.0619
2035,-2.5699
2036,-4.1546
2037,-4.4605
2038,-2.9718
2039,-2.2463
2040,-3.2835
2041,-3.3611
2042,-3.8207
2043,-3.4792
2044,-1.2897
2045,-2.1411
2046,-1.2926
2047,0.13907
2048,-0.479
2049,-2.6863
2050,-0.34176
2051,-0.59144
2052,-2.9374
2053,-1.5777
2054,-1.5084
2055,1.6396
2056,0.7371
2057,-1.494
2058,-0.35463
2059,0.82927
2060,-0.21567
2061,0.84932
2062,2.0875
2063,1.6601
2064,1.6335
2065,2.2324
2066,1.8223
2067,1.5761
2068,0.77308
2069,0.9633
2070,0.85009
2071,2.7225
2072,2.2083
2073,2.4335
2074,1.4374
2075,2.4823
2076,3.0457
2077,2.3778
2078,2.7896
2079,3.452
2080,3.3685
2081,3.7028
2082,3.89
2083,3.7385
2084,4.2026
2085,2.9605
2086,3.6374
2087,4.0357
2088,4.8737
2089,5.3074
2090,4.3701
2091,4.829
2092,5.0593
2093,4.9175
2094,5.1192
2095,5.06
2096,4.2413
2097,4.7946
2098,5.4132
2099,6.1925
