station=943260 
Lat = 23.8 S 
Lon = 133.88 E 
Year,Annual mean temperature 
2006,18.117
2007,18.317
2008,19.272
2009,19.647
2010,20.128
2011,20.417
2012,19.691
2013,19.096
2014,21.41
2015,20.516
2016,19.168
2017,19.728
2018,21.001
2019,18.834
2020,20.842
2021,20.998
2022,20.261
2023,19.054
2024,20.118
2025,21.041
2026,18.788
2027,19.761
2028,21.49
2029,20.019
2030,19.395
2031,21.369
2032,19.941
2033,19.721
2034,22.555
2035,20.635
2036,20.687
2037,20.825
2038,21.903
2039,20.496
2040,22.07
2041,21.652
2042,22.996
2043,20.528
2044,19.853
2045,21.866
2046,20.43
2047,21.245
2048,21.17
2049,23.221
2050,21.924
2051,21.37
2052,22.855
2053,20.635
2054,21.852
2055,21.581
2056,23.047
2057,22.713
2058,22.085
2059,23.26
2060,22.62
2061,23.047
2062,22.581
2063,23.725
2064,24.512
2065,23.001
2066,23.375
2067,22.433
2068,23.372
2069,25.174
2070,24.525
2071,22.326
2072,24.223
2073,24.784
2074,23.87
2075,24.354
2076,23.366
2077,23.903
2078,25.974
2079,23.432
2080,25.28
2081,25.498
2082,25.831
2083,24.469
2084,25.152
2085,24.729
2086,24.255
2087,23.847
2088,25.402
2089,25.043
2090,26.604
2091,24.984
2092,26.172
2093,25.525
2094,26.703
2095,23.85
2096,25.726
2097,25.891
2098,25.239
2099,27.254
