station=911820 
Lat = 21.35 N 
Lon = 157.93 W 
Year,Annual mean temperature 
2006,3.5894
2007,3.1983
2008,3.3337
2009,5.4681
2010,3.0805
2011,4.6555
2012,4.0832
2013,2.8847
2014,2.7873
2015,2.1246
2016,3.1089
2017,4.1553
2018,5.0457
2019,4.4543
2020,5.3577
2021,5.8112
2022,6.3738
2023,4.3379
2024,5.2709
2025,5.4667
2026,4.1189
2027,5.7965
2028,4.9703
2029,3.9825
2030,4.1392
2031,5.0749
2032,4.8446
2033,5.3275
2034,5.3487
2035,5.2648
2036,4.9736
2037,4.6964
2038,4.4926
2039,5.1808
2040,3.6714
2041,3.5453
2042,5.1441
2043,5.6811
2044,5.8972
2045,4.9081
2046,6.161
2047,4.8914
2048,5.0784
2049,4.9794
2050,4.9849
2051,5.665
2052,6.5285
2053,6.3796
2054,6.1047
2055,6.4181
2056,6.9434
2057,7.2597
2058,7.3105
2059,6.5952
2060,6.8276
2061,6.6742
2062,6.3973
2063,6.639
2064,6.5276
2065,6.4248
2066,7.583
2067,6.9623
2068,7.5347
2069,6.6869
2070,7.0695
2071,6.9787
2072,7.2213
2073,6.7322
2074,7.4952
2075,6.4836
2076,7.3762
2077,6.8587
2078,7.34
2079,6.9629
2080,6.9098
2081,7.3736
2082,7.6467
2083,7.7575
2084,8.1157
2085,8.3117
2086,7.4549
2087,7.9582
2088,8.6701
2089,8.4653
2090,8.88
2091,8.7543
2092,7.9219
2093,8.982
2094,9.9176
2095,8.1072
2096,8.3184
2097,9.6311
2098,9.005
2099,8.7823
